Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alloy-ingot-250g-magnum-lucens-dental-productcobalt,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/GNUM-LUCENS_2-1.jpg,2,Alloy Ingot 250g | Magnum Lucens | Dental Product|Cobalt,,,,,,,,
alloy-ingot-250g-magnum-lucens-dental-productcobalt,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/mesa_magnum_lucens-scaled-600x400-1.png,3,Alloy Ingot 250g | Magnum Lucens | Dental Product|Cobalt,,,,,,,,
alloymagnum-h60-chromo-cobalt-alloy-dental-product,Alloy|Magnum H60  |Chromo Cobalt Alloy | Dental Product,"<p>Easy processing</p>
<p>Excellent degree of hardness</p>
<p>Perfect elasticity for making hooks that flex without breaking</p>
<p>Excellent polishing</p>
<p><strong>Composition in %</strong></p>
<p>Cobalt (Co) 63 – Chromium (Cr) 29 – Molybdenum (Mo) 6.5 – Other C, Si, Fe, Mn</p>
<p><strong>Physical and mechanical properties</strong></p>
<p><table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0""></p>
<p><tbody></p>
<p><tr></p>
<p><td>The solid-liquid temperature</td></p>
<p><td>1321-1407°C</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Fusion point</td></p>
<p><td>1460°C</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Density</td></p>
<p><td>8.3 g/cmc</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Vickers hardness</td></p>
<p><td>394 HV10</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Percent elongation at break</td></p>
<p><td>6%</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Unit yield strength</td></p>
<p><td>545 MPa</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Elasticity module</td></p>
<p><td>209 GPa</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Joni release in 7 days</td></p>
<p><td>0.6 μg/cm2</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Color</td></p>
<p><td>White</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Cytotoxicity test according to ISO 10993-5</td></p>
<p><td>Passed</td></p>
<p></tr></p>
<p></tbody></p>
<p></table></p>
<p>CE 0123 ACCORDING TO: ISO 22674</p>
<p><strong>Other packs available</strong></p>
<p>1 kg pack | 500g</p>",Mesa,,"Crown and Bridges, Investment & Alloy Material",Investment & Alloy Material,TRUE,Title,Default Title,,,,,40040015A,1000,shopify,,deny,manual,314,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Magnum-h60.webp,1,Alloy|Magnum H60  |Chromo Cobalt Alloy | Dental Product,FALSE,Alloy|Magnum H60  |Chromo Cobalt Alloy | Dental Product,"<p>Easy processing</p>
<p>Excellent degree of hardness</p>
<p>Perfect elasticity for making hooks that flex without breaking</p>
<p>Excellent polishing</p>",,g,,,active
alloymagnum-vip-a-chrome-cobalt-alloy-dental-product,Alloy|Magnum Vip-A  |Chrome Cobalt Alloy | Dental Product,"<p>Not excessively high modulus of elasticity (211 GPa).</p>
<p>Excellent mechanical properties</p>
<p>Low specific gravity</p>
<p>Excellent polish and firmness</p>
<p>Excellent for skeletons with hooks, easy polishing and good gloss</p>
<p><strong>Composition in %</strong></p>
<p>Cobalt (Co) 64 – Chromium (Cr) 29 – Niobium (Nb) 6 – Molybdenum (Mo) 6 – Others (C, Si, Fe, Mn)</p>
<p><strong>Physical and mechanical properties</strong></p>
<p><table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0""></p>
<p><tbody></p>
<p><tr></p>
<p><td>Solidus-liquidus temperature</td></p>
<p><td>1350 ÷ 1406 °C</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Thermal expansion coefficient</td></p>
<p><td>(25 ÷ 500 °C) 14.7 x 10-6 K-1 – (25 ÷ 600 °C) 15 x 10-6 K-1</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Fusion point</td></p>
<p><td>1460°C</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Density</td></p>
<p><td>8.4 g/cm3</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Vickers hardness</td></p>
<p><td>386 HV10</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Percent elongation at break</td></p>
<p><td>6 %</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Unit yield strength</td></p>
<p><td>(Rp0.2) 580 MPa</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Elasticity module</td></p>
<p><td>211 GPa</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Joni release in 7 days</td></p>
<p><td>1.1 μg/cm2</td></p>
<p></tr></p>
<p><tr></p>
<p><td>Color</td></p>
<p><td>White</td></p>
<p></tr></p>
<p></tbody></p>
<p></table></p>
<p>CE 0123 ACCORDING TO: ISO 22674</p>
<p><strong>Other packs available</strong></p>
<p>1kg pack | 500g</p>
<p>MAGNUM VIP-A – Cylinder 5 PLS – Box1 – NLM – MD</p>",Mesa,,"Crown and Bridges, Investment & Alloy Material",Investment & Alloy Material,TRUE,Title,Default Title,,,,,40090025A,1000,shopify,,deny,manual,327,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Magnum-Vip-A.webp,1,Alloy|Magnum Vip-A  |Chrome Cobalt Alloy | Dental Product,FALSE,Alloy|Magnum Vip-A  |Chrome Cobalt Alloy | Dental Product,"<p>Not excessively high modulus of elasticity (211 GPa).</p>
<p>Excellent mechanical properties</p>
<p>Low specific gravity</p>
<p>Excellent polish and firmness</p>
<p>Excellent for skeletons with hooks, easy polishing and good gloss</p>",,g,,,active
alloymagnum-vip-a-chrome-cobalt-alloy-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/MAGNUM-VIP-A-1.jpg,2,Alloy|Magnum Vip-A  |Chrome Cobalt Alloy | Dental Product,,,,,,,,
steamer-vk-100-steam-generator-dental-product-machinary,Steamer | Vk 100 Steam Generator | Dental Product| Machinary,"<p>The most compact worktop steam generator with spray gun in the “IV line”.Built following the tradition for sturdiness, practicality and durability. Requires no connection to the water mains. Easy to install: simply fill the tank with demineralized water and insert the power plug. Easy to use: the machine is ready after 8 minutes from switching on.A yellow light signals when the water runs low and requires topping up. Main features:Independent tank, which makes the device portable, easy to fill: opening diameter ? 65 mm ,the tank can be topped up without stopping the machine, practical, with excellent heat insulation, ergonomic design,     very easy to use, “Sensor” control lever and Safety ON/OFF switch.</p>",Effegi Brega,,Machinery Equipment & Accessories,"Acrylics, Crown and Bridges, Dental Stone",TRUE,Title,Default Title,,,,,200160,0,shopify,,deny,manual,2199,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/STEAM-GENERATOR-VK100.webp,1,Steamer | Vk 100 Steam Generator | Dental Product| Machinary,FALSE,Steamer | Vk 100 Steam Generator | Dental Product| Machinary,,,g,,,active
steamer-vk-100-steam-generator-dental-product-machinary,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/STEAM-GENERATOR-VK100_1.webp,2,Steamer | Vk 100 Steam Generator | Dental Product| Machinary,,,,,,,,
steamervk-300-steam-generator-dental-product,Steamer|Vk 300 Steam Generator | Dental Product,"<p>Steam generator, pressure 4 bar, requires connection to the water mains. Equipped with electromechanical controls, spray gun and fixed spout. Compact dimensions – a must in every dental lab.</p>
<p>Main features: Copper boiler, capacity 3.6 l, boiler with techno polymer insulation, painted stainless steel housing, painted aluminium cover, copper pipes, brass pipe-fittings and numbered safety valve set at 5.5 b Steam generator, pressure 4 bar, requires connection to the water mains. Equipped with electromechanical controls, spray gun and fixed spout. Compact dimensions – a must in every dental lab.</p>",Effegi Brega,,Machinery Equipment & Accessories,"Acrylics, Crown and Bridges, Dental Stone",TRUE,Title,Default Title,,,,,200105,0,shopify,,deny,manual,3099,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/STEAM-GENERATOR-VK300-2.webp,1,Steamer|Vk 300 Steam Generator | Dental Product,FALSE,Steamer|Vk 300 Steam Generator | Dental Product,"<p>Steam generator, pressure 4 bar, requires connection to the water mains. Equipped with electromechanical controls, spray gun and fixed spout. Compact dimensions – a must in every dental lab.</p>
<p>Main features: Copper boiler, capacity 3.6 l, boiler with techno polymer insulation, painted stainless steel housing, painted aluminium cover, copper pipes, brass pipe-fittings and numbered safety valve set at 5.5 b Steam generator, pressure 4 bar, requires connection to the water mains. Equipped with electromechanical controls, spray gun and fixed spout. Compact dimensions – a must in every dental lab.</p>",,g,,,active
steamervk-300-steam-generator-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/STEAM-GENERATOR-VK300_1.webp,2,Steamer|Vk 300 Steam Generator | Dental Product,,,,,,,,
steamervk-300-steam-generator-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/STEAM-GENERATOR-VK300_2.webp,3,Steamer|Vk 300 Steam Generator | Dental Product,,,,,,,,
steamervk-400-steam-generator-dental-product,SteamerVk 400 Steam Generator | Dental Product,"<p>Steam generator, pressure 8 bar. Powerful, simple and sturdy, this machine can meet any cleaning requirements in any dental laboratory. Main features: Copper boiler, capacity 4.8 l, boiler with techno polymer insulation, painted stainless steel housing, painted aluminium cover, copper pipes, brass pipe-fittings and numbered safety valve set at 10 bar.                                           features: Copper boiler, capacity 3.6 l, boiler with techno polymer insulation, painted stainless steel housing, painted aluminium cover, copper pipes, brass pipe-fittings and numbered safety valve set at 5.5 b</p>",Effegi Brega,,Machinery Equipment & Accessories,"Acrylics, Crown and Bridges, Dental Stone",TRUE,Title,Default Title,,,,,200140,0,shopify,,deny,manual,3494,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/STEAM-GENERATOR-VK400.webp,1,SteamerVk 400 Steam Generator | Dental Product,FALSE,SteamerVk 400 Steam Generator | Dental Product,,,g,,,active
steamervk-400-steam-generator-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/STEAM-GENERATOR-VK400_1.webp,2,SteamerVk 400 Steam Generator | Dental Product,,,,,,,,
steamervk-400-steam-generator-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/STEAM-GENERATOR-VK400_2.webp,3,SteamerVk 400 Steam Generator | Dental Product,,,,,,,,
pressure-pot-compact-touch-polymerization-dental-product,Pressure Pot |Compact Touch Polymerization | Dental Product,"<p>The digital polymerization unit equipped with a touch screen. Thanks to the 205 mm chamber it is possible to place an articulator inside it. Modern, compact and functional: a product that respects the tradition of sturdiness, practicality and durability. Main features: 10 programmable cycles. programmed start-up, programmable timer, connection to printers for report cycle used, maximum temperature 130 °C, cures any type of resin, hygroscopic bath, removing wax from cylinders. pressure chamber. press for investment materials and slow-polymerization resin curing in muffle.</p>",Effegi Brega,,Machinery Equipment & Accessories,"Acrylics, Crown and Bridges, Dental Stone",TRUE,Title,Default Title,,,,,200123,0,shopify,,deny,manual,4999,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/POLYMERIZATION-COMPACT-TOUCH.webp,1,Pressure Pot |Compact Touch Polymerization | Dental Product,FALSE,Pressure Pot |Compact Touch Polymerization | Dental Product,,,g,,,active
pressure-pot-compact-touch-polymerization-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/POLYMERIZATION-COMPACT-TOUCH_1.webp,2,Pressure Pot |Compact Touch Polymerization | Dental Product,,,,,,,,
pressure-pot-compact-touch-polymerization-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/POLYMERIZATION-COMPACT-TOUCH_2.webp,3,Pressure Pot |Compact Touch Polymerization | Dental Product,,,,,,,,
pressure-pot-compact-touch-polymerization-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/POLYMERIZATION-COMPACT-TOUCH_3.webp,4,Pressure Pot |Compact Touch Polymerization | Dental Product,,,,,,,,
pressure-pot-compact-touch-polymerization-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/POLYMERIZATION-COMPACT-TOUCH_4.webp,5,Pressure Pot |Compact Touch Polymerization | Dental Product,,,,,,,,
sandblaster-alox-2001-2mric-dental-product,Sandblaster| Alox 2001 2M+Ric. | Dental Product,"<p>The ALOX 2001 2M sandblaster is a sandblasting unit designed and built to meet the requirements of dental technicians. Simple, functional, essential construction. The Alox 2001 has a modern, pleasant, ergonomic design. If necessary, it can be fitted with the third tank (code 200094).Main features: The working pressure can be set from 1 to 6 bar. the operator can select the sand grain size. tanks for 25-50 micron and 125–250-micron grain size. pressure gauge showing the working pressure. compressed-air intake provided with a double filter to keep out impurities. can be fitted with other tanks (50-125 micron) at a later time                                                                          and Optional internal air gun.</p>",Effegi Brega,,Machinery Equipment & Accessories,"Acrylics, Crown and Bridges, Dental Stone",TRUE,Title,Default Title,,,,,200095,0,shopify,,deny,manual,2890,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/SANDBLASTER-ALOX-2001-2MR.webp,1,Sandblaster| Alox 2001 2M+Ric. | Dental Product,FALSE,Sandblaster| Alox 2001 2M+Ric. | Dental Product,,,g,,,active
sandblaster-alox-plus-dental-product,Sandblaster |Alox Plus | Dental Product,"<p>The ALOX PLUS sandblaster is an evolution of the Alox 2001 and was specifically developed to meet the requirements of dental technicians. Ergonomic, functional and fully equipped with multiple accessories.<br>ALOX PLUS integrates innovative solutions designed to optimize its use and make the technician’s work easier. Requires connection to an extractor to remove the dust that forms inside the working chamber during sandblasting. The connector on the upper left part of the unit can be fitted to an existing extractor or to the AS 800 Silent EXTRACTOR. Main features: The operator can select separate working pressures for the 4 uses. a pressure gauge shows the working pressure for each use. the operator can select the sand grain size. tanks for 25-50-, 50-125- and 125–250-micron grain size. compressed-air intake provided with a double filter to keep out impurities. equipped with heating elements to remove humidity from sand. equipped with internal air gun and supplied with protective glass mesh that can be mounted when necessary.</p>",Effegi Brega,,Machinery Equipment & Accessories,"Acrylics, Crown and Bridges, Dental Stone",TRUE,Title,Default Title,,,,,200097,0,shopify,,deny,manual,3649,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/SANDBLASTER-ALOX-PLUS-e1744716734969.webp,1,Sandblaster |Alox Plus | Dental Product,FALSE,Sandblaster |Alox Plus | Dental Product,,,g,,,active
sandblaster-sandy-dental-product,Sandblaster| Sandy | Dental Product,"<p>SANDY is a sandblaster specifically developed for use in laboratories attached to dental surgeries. Ergonomic, functional, compact design. SANDY comes with innovative solutions designed to optimize its use and make the technician’s work easier. It ergonomically adapts to the technician’s normal working position.<br>All the controls can be easily reached by the operator. The unit has a compact design but offers an ample internal working area. Requires connection to an AS 800 extractor to remove the dust that forms during sandblasting. The connection for the extractor can be placed either on the left or on the right, optimizing work in confined spaces. Main features: Pressure gauge showing the working pressure. the operator can select the sand grain size. tanks for 25-50, 50-125 grain size and compressed-air intake provided with a filter to keep out impurities.</p>",Effegi Brega,,Machinery Equipment & Accessories,"Acrylics, Crown and Bridges, Dental Stone",TRUE,Title,Default Title,,,,,200082,0,shopify,,deny,manual,2559,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/SANDBLASTER-SANDY.webp,1,Sandblaster| Sandy | Dental Product,FALSE,Sandblaster| Sandy | Dental Product,,,g,,,active
sandblaster-sandy-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/SANDBLASTER-SANDY_1.webp,2,Sandblaster| Sandy | Dental Product,,,,,,,,
sandblaster-sandy-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/SANDBLASTER-SANDY_2.webp,3,Sandblaster| Sandy | Dental Product,,,,,,,,
sandblaster-sandy-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/SANDBLASTER-SANDY_3.webp,4,Sandblaster| Sandy | Dental Product,,,,,,,,
sandblaster-sandy-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/SANDBLASTER-SANDY_4.webp,5,Sandblaster| Sandy | Dental Product,,,,,,,,
curing-unit-soleil-light-dental-product,Curing Unit | Soleil Light| Dental Product,"<p>Multipurpose curing unit for photocuring resins and composites.<br>Optimizes the light-curing process: the many different kinds of composites and resins available make it necessary to diversify the light-curing process by changing and alternating the LED environments.By adjusting the pressure and vacuum settings you can make the dental appliance more compact. This means it is harder, gets a better polish, is less susceptible to dental plaque, has improved appearance and colour, and a thinner surface scattering layer (Effegi Brega patent).Thanks to the reflective chamber and turntable, the light is evenly diffused, with no dark spots, ensuring the complete and safe photocuring of the whole dental appliance.Main features: LED-generated polymerizing light, emitted at 380 to 540 nm, cold light curing, function with pressurized chamber, function with vacuumed chamber., function with heated chamber, ten preset cycles and twenty programmable cycles and 15 quick-selection cycles to speed up work</p>",Effegi Brega,,Machinery Equipment & Accessories,Impression Trays & Accessories,TRUE,Title,Default Title,,,,,200700,0,shopify,,deny,manual,5564,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/SOLEIL-LIGHT-CURING-UNIT.webp,1,Curing Unit | Soleil Light| Dental Product,FALSE,Curing Unit | Soleil Light| Dental Product,,,g,,,active
vibrator-twin-pulsar-dental-product,Vibrator| Twin Pulsar | Dental Product,"<p>This vibrator lets you choose between two kinds of waves: the full waves produce finer vibrations, and half-waves produce stronger vibrations. The vibration can be further adjusted by using the progressive variator to obtain the exact intensity required. Equipped with an ample rectangular rubber platform with anti-fall edges and a support handle for precision pouring. The on/off button can be operated with the back of your hand, making it easy to use when your hands are occupied. Main features: Convenient push-pull button switch, side handle support for special pourings, wave  type selector, variator control for adjusting vibration intensity.</p>",Effegi Brega,,Machinery Equipment & Accessories,"Acrylics, Crown and Bridges, Dental Stone",TRUE,Title,Default Title,,,,,200007,0,shopify,,deny,manual,749,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/VIBRATOR-TWIN-PULSAR.webp,1,Vibrator| Twin Pulsar | Dental Product,FALSE,Vibrator| Twin Pulsar | Dental Product,,,g,,,active
vibrator-twin-pulsar-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/VIBRATOR-TWIN-PULSAR_1.webp,2,Vibrator| Twin Pulsar | Dental Product,,,,,,,,
discmagnum-solare-chrome-cobalt-dental-productcad-cad,Disc|Magnum Solare| Chrome Cobalt | Dental Product|Cad cad|,"<p>Unique on the market with 255 Vickers hardness, greater precision, lower milling tool consumption and less strain on the machine spindle, Composition in % Cobalt (Co) 66 % Chrome (Cr) 27% Molybdenum (Mo) 6% Others Si, Mn Physical</p>",Mesa,,"CAD CAM Products, Investment & Alloy Material",Investment & Alloy Material,TRUE,size,Ø98.5x 10mm,,,,,,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,Disc|Magnum Solare| Chrome Cobalt | Dental Product|Cad cad|,"<p>Unique on the market with 255 Vickers hardness, greater precision, lower milling tool consumption and less strain on the machine spindle, Composition in % Cobalt (Co) 66 % Chrome (Cr) 27% Molybdenum (Mo) 6% Others Si, Mn Physical</p>",,g,,,active
discmagnum-solare-chrome-cobalt-dental-productcad-cad,,,,,,,TRUE,size,Ø98.5x 12mm,,,,,,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,g,,,active
discmagnum-solare-chrome-cobalt-dental-productcad-cad,,,,,,,TRUE,size,Ø98.5x 14mm,,,,,,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,g,,,active
discmagnum-solare-chrome-cobalt-dental-productcad-cad,,,,,,,TRUE,size,Ø98.5x16mm,,,,,,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,g,,,active
discmagnum-solare-chrome-cobalt-dental-productcad-cad,,,,,,,TRUE,size,Ø98.5x18mm,,,,,,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,g,,,active
discmagnum-solare-chrome-cobalt-dental-productcad-cad,,,,,,,TRUE,size,Ø98.5x20mm,,,,,,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,,,,g,,,active
discmagnum-solare-chrome-cobalt-dental-productcad-cad,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/MAGNUM-SOLARE-Chrome-Cobalt-e1744716771435.webp,1,Disc|Magnum Solare| Chrome Cobalt | Dental Product|Cad cad|,,,,,,,,
articulating-stone-cf-kg-20-dental-product,Articulating  Stone |Cf Kg 20 | Dental Product,"<p><h3 class=""name"">ARTIC STONE Codes: GES000528 white 20 kg</h3></p>
<p><h1 class=""name"">Gypsum indicated for the moulds of the muffles and articulation.</h1></p>
<p>Extra fine, fast setting and low expansion gypsum.</p>
<p>Indicated for mounting master casts on individual articulator, to produce precision masks, for the moulds of the muffles.</p>
<p>Features: Thixotropic</p>
<p>Very low expansion</p>
<p>Excellent malleability</p>
<p>Extra-white. Perfect fixing of the models in articulator.</p>
<p>Colours and packaging: White:</p>
<p>20 kg Box</p>",Techim,,Dental Stone,"Acrylics, Crown and Bridges, Lab Putty",TRUE,Title,Default Title,,,,,GES000528,20000,shopify,,deny,manual,149,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/GES000528-Gypsum-indicated-for-the-moulds-of-the-muffles.-Techim-Group.webp,1,Articulating  Stone |Cf Kg 20 | Dental Product,FALSE,Articulating  Stone |Cf Kg 20 | Dental Product,"<p><h3 class=""name"">ARTIC STONE Codes: GES000528 white 20 kg</h3></p>
<p><h1 class=""name"">Gypsum indicated for the moulds of the muffles and articulation.</h1></p>",,g,,,active
articulating-stone-cf-kg-20-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/03/LUXURY-DELUXE-ARTICULATOR-2.jpg,2,Articulating  Stone |Cf Kg 20 | Dental Product,,,,,,,,
opaque-paste-flow-dentin-light-dental-productzhefiro,Opaque Paste Flow Dentin Light | Dental Product|Zhefiro,,Micromedica,,Primers / Cements / Opaque,Crown and Bridges,TRUE,Title,Default Title,,,,,BXF3OL,0,shopify,,deny,manual,41,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Dentite-and-Pink.jpg,1,Opaque Paste Flow Dentin Light | Dental Product|Zhefiro,FALSE,Opaque Paste Flow Dentin Light | Dental Product|Zhefiro,,,g,,,active
opaque-paste-flow-pink-dental-productzhefiro,Opaque Paste Flow Pink | Dental Product||Zhefiro,,Micromedica,,Primers / Cements / Opaque,Crown and Bridges,TRUE,Title,Default Title,,,,,BXF3OP,0,shopify,,deny,manual,41,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Dentite-and-Pink.jpg,1,Opaque Paste Flow Pink | Dental Product||Zhefiro,FALSE,Opaque Paste Flow Pink | Dental Product||Zhefiro,,,g,,,active
universal-liquid-for-opaquer-dental-productzhefiro,Universal Liquid For Opaquer | Dental Product||Zhefiro,,Micromedica,,Primers / Cements / Opaque,Crown and Bridges,TRUE,Title,Default Title,,,,,BXFL5,0,shopify,,deny,manual,60,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Liquid-for-Opaque-scaled.webp,1,Universal Liquid For Opaquer | Dental Product||Zhefiro,FALSE,Universal Liquid For Opaquer | Dental Product||Zhefiro,,,g,,,active
unibond-prime-metal-opaque-composite-acrylic-dental-product,Unibond Prime    Metal /Opaque/ Composite/ Acrylic | Dental Product,,Micromedica,,Primers / Cements / Opaque,Crown and Bridges,TRUE,Title,Default Title,,,,,DCETB5,0,shopify,,deny,manual,140,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/UniBond.webp,1,Unibond Prime    Metal /Opaque/ Composite/ Acrylic | Dental Product,FALSE,Unibond Prime    Metal /Opaque/ Composite/ Acrylic | Dental Product,,,g,,,active
gold-paste-opaque-metal-fiber-dental-productzhefiro,Gold Paste   Opaque Metal / Fiber | Dental Product||Zhefiro,,Micromedica,,Primers / Cements / Opaque,Crown and Bridges,TRUE,Title,Default Title,,,,,BXFOG,0,shopify,,deny,manual,50,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Gold.jpg,1,Gold Paste   Opaque Metal / Fiber | Dental Product||Zhefiro,FALSE,Gold Paste   Opaque Metal / Fiber | Dental Product||Zhefiro,,,g,,,active
gel-coat-dental-productzhefiro-sealer,Gel Coat | Dental Product||Zhefiro sealer,,Micromedica,,Primers / Cements / Opaque,Crown and Bridges,TRUE,Title,Default Title,,,,,BXFDV2,0,shopify,,deny,manual,90,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Gel-Coat-scaled.webp,1,Gel Coat | Dental Product||Zhefiro sealer,FALSE,Gel Coat | Dental Product||Zhefiro sealer,,,g,,,active
silicon-visionsil-transparent-70-shore-dental-product,Silicon |Visionsil Transparent 70 Shore| Dental Product,"<p><h1 class=""name"">Silicone suitable for the pressing and injection technique - 70 shore</h1></p>
<p>Description: Visionsil 70 shore - 2x50ml+10mixer</p>
<p>Fluid transparent addition silicone. Suitable for the pressing</p>
<p>and injection technique to use with light curing resins.</p>",Techim,,Gingival Mask Material,Impression Trays & Accessories,TRUE,Title,Default Title,,,,,SIL000040,0,shopify,,deny,manual,68,80,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/SIL000040-Silicone-suitable-for-the-pressing-and-injection-technique-70sh-Techim-Group-e1744716700690.webp,1,Silicon |Visionsil Transparent 70 Shore| Dental Product,FALSE,Silicon |Visionsil Transparent 70 Shore| Dental Product,"<p><h1 class=""name"">Silicone suitable for the pressing and injection technique - 70 shore</h1></p>",,g,,,active
silicon-puttyhd-sil80-shore-dental-product-ab,Silicon Putty|Hd Sil|80 Shore| Dental Product A+B,"<p><h1 class=""name"">Addition Silicone Ideal for any Technique - 80 shore</h1></p>
<p>Addition silicone with 1:1 mixing ratio. HD SIL can be modelled during working and is rigid once hardening is completed, but it keeps the values measured unaltered. Due to its ease of use, it is ideal for the pressed ceramic technique, total prostheses, and masks. Features: • High final hardness • Dimensional stability • It does not irritate the skin • Resistant to temperature Advantages: • Unalterable over time • High detail • Millable • Low linear retraction • Easy to use • No deformation in muffle. Packing: 5 kg A + 5kg B PRICE: $ 310.00</p>",Techim,,Lab Putty,"Acrylics, Dental Stone",TRUE,Title,Default Title,,,,,SIL000027,0,shopify,,deny,manual,342,360,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/SIL000027-Hd-Sil-80sh-5kg5kg.webp,1,Silicon Putty|Hd Sil|80 Shore| Dental Product A+B,FALSE,Silicon Putty|Hd Sil|80 Shore| Dental Product A+B,"<p><h1 class=""name"">Addition Silicone Ideal for any Technique - 80 shore</h1></p>",,g,,,active
